section_id;party;votes
010100001;1;1
010100001;2;0
010100001;3;1
010100001;4;55
010100001;5;84
010100001;6;1
010100001;7;0
010100001;8;33
010100001;9;1
010100001;10;0
010100001;11;13
010100001;12;0
010100001;13;1
010100001;14;0
010100001;15;8
010100001;16;13
010100001;17;1
010100001;18;1
010100001;19;0
010100001;20;1
010100001;21;0
010100001;22;90
010100001;23;33
010100001;99;7
010100002;1;1
010100002;2;0
010100002;3;0
010100002;4;41
010100002;5;104
010100002;6;1
010100002;7;0
010100002;8;25
010100002;9;0
010100002;10;0
010100002;11;10
010100002;12;0
010100002;13;1
010100002;14;0
010100002;15;6
010100002;16;18
010100002;17;0
010100002;18;0
010100002;19;0
010100002;20;1
010100002;21;0
010100002;22;79
010100002;23;40
010100002;99;7
010100003;1;0
010100003;2;1
010100003;3;0
010100003;4;48
010100003;5;94
010100003;6;1
010100003;7;0
010100003;8;13
010100003;9;5
010100003;10;0
010100003;11;4
010100003;12;0
010100003;13;0
010100003;14;0
010100003;15;6
010100003;16;6
010100003;17;0
010100003;18;0
010100003;19;0
010100003;20;0
010100003;21;0
010100003;22;88
010100003;23;26
010100003;99;8
010100004;1;0
010100004;2;0
010100004;3;0
010100004;4;62
010100004;5;106
010100004;6;1
010100004;7;0
010100004;8;18
010100004;9;0
010100004;10;0
010100004;11;5
010100004;12;0
010100004;13;0
010100004;14;0
010100004;15;6
010100004;16;15
010100004;17;0
010100004;18;0
010100004;19;0
010100004;20;0
010100004;21;3
010100004;22;80
010100004;23;52
010100004;99;11
010100005;1;0
010100005;2;0
010100005;3;0
010100005;4;42
010100005;5;74
010100005;6;2
010100005;7;5
010100005;8;30
010100005;9;0
010100005;10;0
010100005;11;6
010100005;12;0
010100005;13;0
010100005;14;0
010100005;15;7
010100005;16;27
010100005;17;0
010100005;18;0
010100005;19;0
010100005;20;0
010100005;21;3
010100005;22;61
010100005;23;34
010100005;99;3
010100006;1;0
010100006;2;0
010100006;3;2
010100006;4;38
010100006;5;70
010100006;6;2
010100006;7;0
010100006;8;30
010100006;9;1
010100006;10;0
010100006;11;8
010100006;12;0
010100006;13;0
010100006;14;0
010100006;15;5
010100006;16;28
010100006;17;1
010100006;18;0
010100006;19;0
010100006;20;1
010100006;21;0
010100006;22;74
010100006;23;27
010100006;99;4
010100007;1;1
010100007;2;1
010100007;3;2
010100007;4;58
010100007;5;104
010100007;6;0
010100007;7;1
010100007;8;17
010100007;9;0
010100007;10;0
010100007;11;10
010100007;12;0
010100007;13;0
010100007;14;0
010100007;15;5
010100007;16;10
010100007;17;0
010100007;18;1
010100007;19;0
010100007;20;0
010100007;21;0
010100007;22;81
010100007;23;22
010100007;99;8
010100008;1;2
010100008;2;1
010100008;3;0
010100008;4;47
010100008;5;97
010100008;6;0
010100008;7;0
010100008;8;12
010100008;9;1
010100008;10;0
010100008;11;4
010100008;12;1
010100008;13;0
010100008;14;0
010100008;15;5
010100008;16;8
010100008;17;0
010100008;18;1
010100008;19;0
010100008;20;0
010100008;21;1
010100008;22;87
010100008;23;20
010100008;99;6
010100009;1;1
010100009;2;1
010100009;3;1
010100009;4;28
010100009;5;101
010100009;6;2
010100009;7;2
010100009;8;17
010100009;9;0
010100009;10;0
010100009;11;4
010100009;12;1
010100009;13;0
010100009;14;0
010100009;15;7
010100009;16;20
010100009;17;1
010100009;18;0
010100009;19;0
010100009;20;1
010100009;21;0
010100009;22;101
010100009;23;26
010100009;99;5
010100010;1;0
010100010;2;0
010100010;3;0
010100010;4;30
010100010;5;93
010100010;6;1
010100010;7;0
010100010;8;27
010100010;9;2
010100010;10;1
010100010;11;8
010100010;12;0
010100010;13;0
010100010;14;0
010100010;15;4
010100010;16;21
010100010;17;0
010100010;18;1
010100010;19;0
010100010;20;1
010100010;21;3
010100010;22;80
010100010;23;33
010100010;99;9
010100011;1;2
010100011;2;0
010100011;3;3
010100011;4;16
010100011;5;113
010100011;6;1
010100011;7;7
010100011;8;6
010100011;9;1
010100011;10;2
010100011;11;1
010100011;12;1
010100011;13;0
010100011;14;1
010100011;15;2
010100011;16;2
010100011;17;0
010100011;18;0
010100011;19;0
010100011;20;0
010100011;21;1
010100011;22;60
010100011;23;5
010100011;99;2
010100012;1;2
010100012;2;0
010100012;3;0
010100012;4;53
010100012;5;102
010100012;6;1
010100012;7;1
010100012;8;27
010100012;9;0
010100012;10;1
010100012;11;10
010100012;12;1
010100012;13;0
010100012;14;0
010100012;15;9
010100012;16;24
010100012;17;3
010100012;18;0
010100012;19;0
010100012;20;1
010100012;21;1
010100012;22;107
010100012;23;24
010100012;99;7
010100013;1;1
010100013;2;2
010100013;3;2
010100013;4;64
010100013;5;128
010100013;6;2
010100013;7;0
010100013;8;25
010100013;9;0
010100013;10;1
010100013;11;9
010100013;12;0
010100013;13;0
010100013;14;0
010100013;15;8
010100013;16;28
010100013;17;0
010100013;18;0
010100013;19;0
010100013;20;0
010100013;21;4
010100013;22;93
010100013;23;42
010100013;99;7
010100014;1;0
010100014;2;0
010100014;3;0
010100014;4;29
010100014;5;109
010100014;6;1
010100014;7;1
010100014;8;64
010100014;9;0
010100014;10;0
010100014;11;4
010100014;12;0
010100014;13;1
010100014;14;0
010100014;15;0
010100014;16;5
010100014;17;0
010100014;18;0
010100014;19;1
010100014;20;0
010100014;21;7
010100014;22;128
010100014;23;36
010100014;99;8
010100015;1;0
010100015;2;0
010100015;3;1
010100015;4;20
010100015;5;118
010100015;6;3
010100015;7;0
010100015;8;37
010100015;9;1
010100015;10;0
010100015;11;4
010100015;12;0
010100015;13;0
010100015;14;0
010100015;15;3
010100015;16;7
010100015;17;0
010100015;18;0
010100015;19;0
010100015;20;0
010100015;21;3
010100015;22;100
010100015;23;26
010100015;99;3
010100016;1;0
010100016;2;0
010100016;3;0
010100016;4;31
010100016;5;67
010100016;6;1
010100016;7;1
010100016;8;38
010100016;9;0
010100016;10;0
010100016;11;3
010100016;12;0
010100016;13;0
010100016;14;0
010100016;15;2
010100016;16;4
010100016;17;0
010100016;18;0
010100016;19;0
010100016;20;1
010100016;21;1
010100016;22;64
010100016;23;23
010100016;99;2
010100017;1;0
010100017;2;0
010100017;3;0
010100017;4;20
010100017;5;102
010100017;6;1
010100017;7;0
010100017;8;52
010100017;9;1
010100017;10;0
010100017;11;5
010100017;12;0
010100017;13;0
010100017;14;1
010100017;15;5
010100017;16;7
010100017;17;0
010100017;18;0
010100017;19;2
010100017;20;1
010100017;21;3
010100017;22;79
010100017;23;39
010100017;99;5
010100023;1;0
010100023;2;1
010100023;3;1
010100023;4;20
010100023;5;68
010100023;6;2
010100023;7;109
010100023;8;8
010100023;9;0
010100023;10;0
010100023;11;0
010100023;12;1
010100023;13;0
010100023;14;0
010100023;15;12
010100023;16;9
010100023;17;2
010100023;18;0
010100023;19;0
010100023;20;0
010100023;21;0
010100023;22;40
010100023;23;3
010100023;99;1
010200001;1;0
010200001;2;1
010200001;3;0
010200001;4;53
010200001;5;41
010200001;6;1
010200001;7;72
010200001;8;10
010200001;9;1
010200001;10;0
010200001;11;4
010200001;12;1
010200001;13;0
010200001;14;0
010200001;15;0
010200001;16;7
010200001;17;0
010200001;18;0
010200001;19;0
010200001;20;0
010200001;21;0
010200001;22;35
010200001;23;6
010200001;99;5
010200002;1;1
010200002;2;1
010200002;3;2
010200002;4;45
010200002;5;37
010200002;6;0
010200002;7;189
010200002;8;11
010200002;9;1
010200002;10;1
010200002;11;4
010200002;12;0
010200002;13;1
010200002;14;0
010200002;15;1
010200002;16;1
010200002;17;1
010200002;18;0
010200002;19;0
010200002;20;0
010200002;21;0
010200002;22;20
010200002;23;4
010200002;99;1
010200003;1;1
010200003;2;1
010200003;3;1
010200003;4;69
010200003;5;77
010200003;6;1
010200003;7;167
010200003;8;22
010200003;9;1
010200003;10;2
010200003;11;1
010200003;12;1
010200003;13;1
010200003;14;0
010200003;15;5
010200003;16;2
010200003;17;0
010200003;18;0
010200003;19;0
010200003;20;0
010200003;21;0
010200003;22;38
010200003;23;8
010200003;99;3
010200004;1;0
010200004;2;0
010200004;3;1
010200004;4;44
010200004;5;74
010200004;6;0
010200004;7;149
010200004;8;6
010200004;9;1
010200004;10;0
010200004;11;0
010200004;12;0
010200004;13;1
010200004;14;0
010200004;15;0
010200004;16;6
010200004;17;0
010200004;18;0
010200004;19;0
010200004;20;0
010200004;21;0
